uri,normalized,hisco_category,provenance
,broodverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/45130,jaikwil
,brouwer,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,Brouwer,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,brouwerknecht,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,Brouwerknecht,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,brouwersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,brouwersknecht,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,brouwersmeesterknecht,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,buitenlandsvaarder,https://iisg.amsterdam/resource/hisco/code/hisco/98135,jaikwil
,buitenschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4215,jaikwil
,burgemeester,https://iisg.amsterdam/resource/hisco/code/hisco/20110,jaikwil
,burgemeester (gewezen),https://iisg.amsterdam/resource/hisco/code/hisco/20110,jaikwil
,busgieter,https://iisg.amsterdam/resource/hisco/code/hisco/83990,jaikwil
,buskruitmaker,https://iisg.amsterdam/resource/hisco/code/hisco/74990,jaikwil
,bussenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/83990,jaikwil
,busteleermaker,https://iisg.amsterdam/resource/hisco/code/hisco/76100,jaikwil
,camelotter,https://iisg.amsterdam/resource/hisco/code/hisco/75430,jaikwil
,camenier gedigneerd,https://iisg.amsterdam/resource/hisco/code/hisco/20210,jaikwil
,canvaswever,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,cargadoor,https://iisg.amsterdam/resource/hisco/code/hisco/22290,jaikwil
,categoriseerder,https://iisg.amsterdam/resource/hisco/code/hisco/75115,jaikwil
,chamoisleermaker,https://iisg.amsterdam/resource/hisco/code/hisco/76100,jaikwil
,chamoiswerker,https://iisg.amsterdam/resource/hisco/code/hisco/76100,jaikwil
,chemist,https://iisg.amsterdam/resource/hisco/code/hisco/1110,jaikwil
,chercheur,https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,chirurgijn,https://iisg.amsterdam/resource/hisco/code/hisco/6110,jaikwil
,chirurgijn (leger),https://iisg.amsterdam/resource/hisco/code/hisco/6110,jaikwil
,chirurgijn (scheeps),https://iisg.amsterdam/resource/hisco/code/hisco/6110,jaikwil
,chirurgijn-majoor,https://iisg.amsterdam/resource/hisco/code/hisco/6110,jaikwil
,chirurgijninstrumentmaker,https://iisg.amsterdam/resource/hisco/code/hisco/84290,jaikwil
,chocolademaker,https://iisg.amsterdam/resource/hisco/code/hisco/77650,jaikwil
,cipier,https://iisg.amsterdam/resource/hisco/code/hisco/58930,jaikwil
,citermaker,https://iisg.amsterdam/resource/hisco/code/hisco/94100,jaikwil
,collecteur,https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,collecteur (bier),https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,collecteur (comptoir bestiaal),https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,collecteur (gemaal),https://iisg.amsterdam/resource/hisco/code/hisco/33990,jaikwil
,collecteur (hout),https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,collecteur (wijn),https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,collecteur der wijnen,https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,college-raad,https://iisg.amsterdam/resource/hisco/code/hisco/21110,jaikwil
,comissaris,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commandant (infanterie),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur,https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur (Admiraliteit),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur (Groenland),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur (Indi‘),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur op de werf,https://iisg.amsterdam/resource/hisco/code/hisco/33190,jaikwil
,commandeur te water (marine),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commandeur VOC (gewezen),https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,commenijhouder,https://iisg.amsterdam/resource/hisco/code/hisco/41030,jaikwil
,commies,https://iisg.amsterdam/resource/hisco/code/hisco/30000,jaikwil
,commies (Admiraliteit),https://iisg.amsterdam/resource/hisco/code/hisco/36090,jaikwil
,commies der convooien,https://iisg.amsterdam/resource/hisco/code/hisco/36090,jaikwil
,commies koopmanschappen WIC,https://iisg.amsterdam/resource/hisco/code/hisco/30000,jaikwil
,commies ter recherche,https://iisg.amsterdam/resource/hisco/code/hisco/58230,jaikwil
,commies-fiscaal ter recherche,https://iisg.amsterdam/resource/hisco/code/hisco/58230,jaikwil
,commies-generaal (Admiraliteit),https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris (in dienst vorst),https://iisg.amsterdam/resource/hisco/code/hisco/20110,jaikwil
,commissaris (stad),https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris (veer),https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris des gerechts,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris desolate boedels,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris op 't Vlie,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris van de monstering,https://iisg.amsterdam/resource/hisco/code/hisco/31030,jaikwil
