uri,label,sameAs_tgn,sameAs_geonames,sameAs_ecartico,provenance
,Dortmund,,http://sws.geonames.org/2935517/,http://www.vondel.humanities.uva.nl/ecartico/places/119,ga
,Drachten,,http://sws.geonames.org/2756644/,http://www.vondel.humanities.uva.nl/ecartico/places/122,ga
,Drempt,,,http://www.vondel.humanities.uva.nl/ecartico/places/2432,ga
,Dresden,,http://sws.geonames.org/2935022/,http://www.vondel.humanities.uva.nl/ecartico/places/717,ga
,Dronrijp,,http://sws.geonames.org/2756561/,http://www.vondel.humanities.uva.nl/ecartico/places/124,ga
,Duinkerken,,,http://www.vondel.humanities.uva.nl/ecartico/places/127,ga
,Durgerdam,,http://sws.geonames.org/2756485/,http://www.vondel.humanities.uva.nl/ecartico/places/130,ga
,Düsseldorf,,,http://www.vondel.humanities.uva.nl/ecartico/places/131,ga
,Ebeltoft,,,http://www.vondel.humanities.uva.nl/ecartico/places/3067,ga
,Edam,,http://sws.geonames.org/2756431/,http://www.vondel.humanities.uva.nl/ecartico/places/132,ga
,Edinburgh,,http://sws.geonames.org/2650225/,http://www.vondel.humanities.uva.nl/ecartico/places/133,ga
,Eibergen,,http://sws.geonames.org/2756295/,http://www.vondel.humanities.uva.nl/ecartico/places/2448,ga
,Elberfeld,,http://sws.geonames.org/2931276/,http://www.vondel.humanities.uva.nl/ecartico/places/139,ga
,Elblag (Elbing),,,http://www.vondel.humanities.uva.nl/ecartico/places/656,ga
,Elburg,,,http://www.vondel.humanities.uva.nl/ecartico/places/140,ga
,Elmina,,,http://www.vondel.humanities.uva.nl/ecartico/places/1665,ga
,Elst,,,http://www.vondel.humanities.uva.nl/ecartico/places/984,ga
,Emden,,http://sws.geonames.org/2930596/,http://www.vondel.humanities.uva.nl/ecartico/places/142,ga
,Emmelkamp,,,http://www.vondel.humanities.uva.nl/ecartico/places/3096,ga
,Emmerik,,,http://www.vondel.humanities.uva.nl/ecartico/places/143,ga
,Engeland,,http://sws.geonames.org/6269131/,http://www.vondel.humanities.uva.nl/ecartico/places/144,ga
,Enkhuizen,,http://sws.geonames.org/2756077/,http://www.vondel.humanities.uva.nl/ecartico/places/145,ga
,Enschede,,http://sws.geonames.org/2756071/,http://www.vondel.humanities.uva.nl/ecartico/places/989,ga
,Esens,,http://sws.geonames.org/2928911/,http://www.vondel.humanities.uva.nl/ecartico/places/996,ga
,Flekkerøy,,,http://www.vondel.humanities.uva.nl/ecartico/places/2111,ga
,Flensburg,,http://sws.geonames.org/2926271/,http://www.vondel.humanities.uva.nl/ecartico/places/889,ga
,Florence,,http://sws.geonames.org/6542285/,http://www.vondel.humanities.uva.nl/ecartico/places/151,ga
,Föhr,,,http://www.vondel.humanities.uva.nl/ecartico/places/1029,ga
,Follega,,,http://www.vondel.humanities.uva.nl/ecartico/places/2961,ga
,Franeker,,http://sws.geonames.org/2755845/,http://www.vondel.humanities.uva.nl/ecartico/places/153,ga
,Frankenberg,,,http://www.vondel.humanities.uva.nl/ecartico/places/886,ga
,Frankenstein in Schlesien,,,http://www.vondel.humanities.uva.nl/ecartico/places/1983,ga
,Frankenthal,,http://sws.geonames.org/2925550/,http://www.vondel.humanities.uva.nl/ecartico/places/154,ga
,Frankfurt am Main,,http://sws.geonames.org/2925533/,http://www.vondel.humanities.uva.nl/ecartico/places/155,ga
,Frankfurt an der Oder,,http://sws.geonames.org/2925535/,http://www.vondel.humanities.uva.nl/ecartico/places/1132,ga
,Friesland,,http://sws.geonames.org/2755812/,http://www.vondel.humanities.uva.nl/ecartico/places/160,ga
,Friesoythe,,,http://www.vondel.humanities.uva.nl/ecartico/places/3089,ga
,Geertruidenberg,,http://sws.geonames.org/2755669/,http://www.vondel.humanities.uva.nl/ecartico/places/161,ga
,Genemuiden,,,http://www.vondel.humanities.uva.nl/ecartico/places/1005,ga
,Genève,,,http://www.vondel.humanities.uva.nl/ecartico/places/859,ga
,Gent,,http://sws.geonames.org/2797656/,http://www.vondel.humanities.uva.nl/ecartico/places/165,ga
,Genua,,,http://www.vondel.humanities.uva.nl/ecartico/places/166,ga
,Giessendam,,http://sws.geonames.org/11746060/,http://www.vondel.humanities.uva.nl/ecartico/places/2478,ga
,Glückstadt,,,http://www.vondel.humanities.uva.nl/ecartico/places/850,ga
,Goa (India),,,http://www.vondel.humanities.uva.nl/ecartico/places/170,ga
,Goch,,http://sws.geonames.org/2919625/,http://www.vondel.humanities.uva.nl/ecartico/places/171,ga
,Goes,,http://sws.geonames.org/2755476/,http://www.vondel.humanities.uva.nl/ecartico/places/173,ga
,Goor,,,http://www.vondel.humanities.uva.nl/ecartico/places/987,ga
,Gorinchem,,,http://www.vondel.humanities.uva.nl/ecartico/places/174,ga
,Gorredijk,,,http://www.vondel.humanities.uva.nl/ecartico/places/1615,ga
,Göteborg,,,http://www.vondel.humanities.uva.nl/ecartico/places/176,ga
,Gouda,,http://sws.geonames.org/2755420/,http://www.vondel.humanities.uva.nl/ecartico/places/177,ga
,Gramsbergen,,http://sws.geonames.org/2755371/,http://www.vondel.humanities.uva.nl/ecartico/places/1386,ga
,Grave,,http://sws.geonames.org/2755358/,http://www.vondel.humanities.uva.nl/ecartico/places/178,ga
,Grenoble,,http://sws.geonames.org/3014728/,http://www.vondel.humanities.uva.nl/ecartico/places/1076,ga
,Groenlo,,http://sws.geonames.org/2755281/,http://www.vondel.humanities.uva.nl/ecartico/places/601,ga
,Groesbeek,,http://sws.geonames.org/2755272/,http://www.vondel.humanities.uva.nl/ecartico/places/2492,ga
,Gronau,,http://sws.geonames.org/2917138/,http://www.vondel.humanities.uva.nl/ecartico/places/1672,ga
,Groningen,,,http://www.vondel.humanities.uva.nl/ecartico/places/182,ga
,Haaksbergen,,,http://www.vondel.humanities.uva.nl/ecartico/places/1163,ga
,Haarlem,,,http://www.vondel.humanities.uva.nl/ecartico/places/184,ga
,Haderslev,,,http://www.vondel.humanities.uva.nl/ecartico/places/1964,ga
,Halberstadt,,,http://www.vondel.humanities.uva.nl/ecartico/places/1855,ga
,Hamburg,,,http://www.vondel.humanities.uva.nl/ecartico/places/187,ga
,Hamm,,,http://www.vondel.humanities.uva.nl/ecartico/places/2967,ga
,Hanau,,http://sws.geonames.org/6557738/,http://www.vondel.humanities.uva.nl/ecartico/places/189,ga
,Hannover,,,http://www.vondel.humanities.uva.nl/ecartico/places/681,ga
,Hannoversch Münden,,,http://www.vondel.humanities.uva.nl/ecartico/places/954,ga
,Hardegarijp,,,http://www.vondel.humanities.uva.nl/ecartico/places/778,ga
,Hardenberg,,,http://www.vondel.humanities.uva.nl/ecartico/places/796,ga
,Harderwijk,,,http://www.vondel.humanities.uva.nl/ecartico/places/190,ga
,Harlingen,,http://sws.geonames.org/2754817/,http://www.vondel.humanities.uva.nl/ecartico/places/192,ga
,Harssens,,,http://www.vondel.humanities.uva.nl/ecartico/places/3084,ga
,Haselünne,,,http://www.vondel.humanities.uva.nl/ecartico/places/1135,ga
,Hattem,,http://sws.geonames.org/2754768/,http://www.vondel.humanities.uva.nl/ecartico/places/1103,ga
,Heerenveen,,http://sws.geonames.org/2754669/,http://www.vondel.humanities.uva.nl/ecartico/places/199,ga
,Heide,,,http://www.vondel.humanities.uva.nl/ecartico/places/834,ga
,Heidelberg,,http://sws.geonames.org/2907911/,http://www.vondel.humanities.uva.nl/ecartico/places/200,ga
,Helmond,,,http://www.vondel.humanities.uva.nl/ecartico/places/202,ga
,Helsingborg,,http://sws.geonames.org/2706767/,http://www.vondel.humanities.uva.nl/ecartico/places/2220,ga
,Helsingør,,,http://www.vondel.humanities.uva.nl/ecartico/places/203,ga
,Helsinki,,,http://www.vondel.humanities.uva.nl/ecartico/places/3079,ga
,Hilversum,,http://sws.geonames.org/2754064/,http://www.vondel.humanities.uva.nl/ecartico/places/2529,ga
,Hindeloopen,,,http://www.vondel.humanities.uva.nl/ecartico/places/212,ga
,Holstein,,https://www.wikidata.org/wiki/Q111224,http://www.vondel.humanities.uva.nl/ecartico/places/747,ga
,Hooksiel,,,http://www.vondel.humanities.uva.nl/ecartico/places/3093,ga
,Hoorn,,http://sws.geonames.org/2753638/,http://www.vondel.humanities.uva.nl/ecartico/places/219,ga
,Husum,,http://sws.geonames.org/2897132/,http://www.vondel.humanities.uva.nl/ecartico/places/760,ga
,Ieper,,,http://www.vondel.humanities.uva.nl/ecartico/places/224,ga
,Ierland,,,http://www.vondel.humanities.uva.nl/ecartico/places/225,ga
,IJsselstein,,,http://www.vondel.humanities.uva.nl/ecartico/places/227,ga
,Ilpendam,,http://sws.geonames.org/2753334/,http://www.vondel.humanities.uva.nl/ecartico/places/922,ga
,Innsbruck,,,http://www.vondel.humanities.uva.nl/ecartico/places/230,ga
,Ipswich,,,http://www.vondel.humanities.uva.nl/ecartico/places/1627,ga
,Iserlohn,,,http://www.vondel.humanities.uva.nl/ecartico/places/1518,ga
,Istrup (Blomberg),,,http://www.vondel.humanities.uva.nl/ecartico/places/3083,ga
,Izegem,,,http://www.vondel.humanities.uva.nl/ecartico/places/940,ga
,Jever,,http://sws.geonames.org/2894897/,http://www.vondel.humanities.uva.nl/ecartico/places/967,ga
,Jeverland,,,http://www.vondel.humanities.uva.nl/ecartico/places/1701,ga
,Jisp,,http://sws.geonames.org/2753240/,http://www.vondel.humanities.uva.nl/ecartico/places/234,ga
,Joure,,http://sws.geonames.org/2753197/,http://www.vondel.humanities.uva.nl/ecartico/places/951,ga
,Kalkar,,http://sws.geonames.org/2893837/,http://www.vondel.humanities.uva.nl/ecartico/places/238,ga
,Kampen (Overijssel),,,http://www.vondel.humanities.uva.nl/ecartico/places/240,ga
,Keulen,,,http://www.vondel.humanities.uva.nl/ecartico/places/242,ga
,Kiel,,http://sws.geonames.org/2891122/,http://www.vondel.humanities.uva.nl/ecartico/places/864,ga
,Kleef,,http://sws.geonames.org/2889891/,http://www.vondel.humanities.uva.nl/ecartico/places/245,ga
,Kolderveen,,,http://www.vondel.humanities.uva.nl/ecartico/places/997,ga
,Königsbrück,,,http://www.vondel.humanities.uva.nl/ecartico/places/3057,ga
,Koningsbergen (Kaliningrad),,,http://www.vondel.humanities.uva.nl/ecartico/places/696,ga
,Kopenhagen,,http://sws.geonames.org/2618425/,http://www.vondel.humanities.uva.nl/ecartico/places/248,ga
,Kortrijk,,,http://www.vondel.humanities.uva.nl/ecartico/places/250,ga
,Köthen (Anhalt),,,http://www.vondel.humanities.uva.nl/ecartico/places/3072,ga
,Kristiansand,,,http://www.vondel.humanities.uva.nl/ecartico/places/980,ga
,Kristianstad,,,http://www.vondel.humanities.uva.nl/ecartico/places/1951,ga
,Kristiansund,,,http://www.vondel.humanities.uva.nl/ecartico/places/3075,ga
,Kuinre,,,http://www.vondel.humanities.uva.nl/ecartico/places/857,ga
,Kwaadieper,,,http://www.vondel.humanities.uva.nl/ecartico/places/2919,ga
,La Rochelle,,http://sws.geonames.org/3006787/,http://www.vondel.humanities.uva.nl/ecartico/places/870,ga
,La Tremblade,,,http://www.vondel.humanities.uva.nl/ecartico/places/3098,ga
,Land Wursten,,,http://www.vondel.humanities.uva.nl/ecartico/places/1732,ga
,Leeuwarden,,http://sws.geonames.org/2751792/,http://www.vondel.humanities.uva.nl/ecartico/places/261,ga
,Leiden,,,http://www.vondel.humanities.uva.nl/ecartico/places/262,ga
,Leidschendam,,http://sws.geonames.org/2751769/,http://www.vondel.humanities.uva.nl/ecartico/places/2141,ga
,Leimuiden,,http://sws.geonames.org/2751750/,http://www.vondel.humanities.uva.nl/ecartico/places/960,ga
,Leipzig,,http://sws.geonames.org/2879139/,http://www.vondel.humanities.uva.nl/ecartico/places/264,ga
,Lemgo,,http://sws.geonames.org/2878943/,http://www.vondel.humanities.uva.nl/ecartico/places/265,ga
